,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
ADM5,60.645991610930714,-0.05777587201027436,0.2666901914727507,-0.21664040845003352,0.8284885921042211,0.9999058266833402,True
AP2A1,961.2814226423402,0.13957978111363317,0.13177198739285662,1.0592523029761927,0.28948489086322904,0.9999058266833402,True
FUZ,257.48959452243656,-0.07608269973505266,0.1492312946208184,-0.5098307290596861,0.6101700553847296,0.9999058266833402,True
MED25,850.8233113820459,0.03665937046850214,0.09881719525976884,0.37098169374401535,0.7106511666336822,0.9999058266833402,True
PTOV1-AS1,33.00765550309854,-0.1391548841119919,0.3775747762878918,-0.3685492062793135,0.7124637617282139,0.9999058266833402,True
PTOV1,1157.5209213986075,0.011044023282356177,0.10941866955028032,0.10093362794254412,0.9196031481729723,0.9999058266833402,True
PTOV1-AS2,299.0042804894197,0.11645856023654275,0.18244529580316612,0.6383204331131992,0.5232651135810326,0.9999058266833402,True
PNKP,945.7768863559385,0.06618191422572184,0.1277369616115826,0.5181109162981747,0.6043808842687142,0.9999058266833402,True
AKT1S1,454.49623441707973,0.17751732039584056,0.12378787489881911,1.4340444937837284,0.15155956607256466,0.9999058266833402,True
TBC1D17,316.8443193818671,0.23718421948310103,0.12559040492266682,1.8885536648213603,0.05895166066175159,0.9999058266833402,True
IL4I1,8.591335812008456,-0.10802142611186855,0.5695636539080988,-0.18965645959090324,0.8495783416783373,0.9999058266833402,True
NUP62,1828.4663247280603,-0.056979801227152925,0.09987347751360184,-0.5705198481688275,0.5683251640349516,0.9999058266833402,True
ATF5,866.3256896401747,0.005859679465069308,0.09616870980556583,0.06093124756395739,0.9514139637135044,0.9999058266833402,True
VRK3,513.329144443698,0.035034424997690355,0.11938638350655192,0.2934541106672158,0.7691750705765912,0.9999058266833402,True
ZNF473,243.3690376822738,0.01648651674382438,0.14771491067240905,0.11161037615482793,0.9111323444496509,0.9999058266833402,True
NR1H2,504.9871139311017,0.07052867447442696,0.16438374180702855,0.429048966151538,0.6678875904516195,0.9999058266833402,True
NAPSB,119.77109801322447,0.14895047065445693,0.22174739169370125,0.6717123909182282,0.5017668115221241,0.9999058266833402,True
POLD1,983.6534324822167,0.08455582767823874,0.17398947824816424,0.4859824199118253,0.6269796304072168,0.9999058266833402,True
SPIB,27.038306190052044,-0.3689480231038217,0.40449054212515645,-0.9121301604863302,0.36170020305365735,0.9999058266833402,True
EMC10,1327.000277353686,-0.02258855880053816,0.11344972219146006,-0.1991063385983198,0.8421795630162431,0.9999058266833402,True
JOSD2,75.50890063567999,0.20880623977281582,0.24771174707955207,0.8429404024418679,0.39926177599331736,0.9999058266833402,True
SHANK1,18.685952932662985,0.23281034320218535,0.38928071069264436,0.5980526052471175,0.5498048328827809,0.9999058266833402,True
CLEC11A,881.1659860484409,0.20388327575087206,0.20072635040689144,1.015727508309603,0.30975916479400256,0.9999058266833402,True
C19orf48,3088.20098487797,-0.00032879294019779045,0.11993727056925164,-0.0027413742086780757,0.9978127025831512,0.9999058266833402,True
CTU1,20.25920788870331,0.1625665558135003,0.4873578124923761,0.3335671485025048,0.7387062113956271,0.9999058266833402,True
SIGLEC9,42.310931986640846,0.40283927201766434,0.2855765767124034,1.410617343534281,0.158357474879966,0.9999058266833402,True
SIGLEC7,25.36409952025267,0.4765470768080791,0.386472534895921,1.2330684169740953,0.21755023956601482,0.9999058266833402,True
